id    source    source_cleaned    popularity
707    aturdimiento    aturdimiento    171
708    aturdidura    aturdidura    24
709    aturdido    aturdido    626
710    aturdidamente    aturdidamente    27
711    aturdida    aturdida    309
712    aturar    aturar    68
713    atunero    atunero    29
714    atunera    atunera    23
715    atunara    atunara    27
716    atulipanado    atulipanado    23
717    atufo    atufo    27
718    atufar    atufar    56
719    atufamiento    atufamiento    14
720    atufado    atufado    35
721    atuendo    atuendo    423
722    attrezzo    attrezzo    41
723    atto    atto    72
724    attaché    attache    280
725    atta    atta    113
726    atruhanado    atruhanado    13
727    atruhanada    atruhanada    12
728    atrozmente    atrozmente    47
729    atrozar    atrozar    67
730    atroz    atroz    588
731    atropos    atropos    17
732    atropina    atropina    19
733    atropello    atropello    359
734    atropellar    atropellar    940
735    atropellaplatos    atropellaplatos    13
736    atropellamiento    atropellamiento    46
737    atropelladora    atropelladora    28
738    atropellador    atropellador    38
739    atropellado    atropellado    317
740    atropelladamente    atropelladamente    133
741    atropellada    atropellada    194
742    atropar    atropar    93
743    atropado    atropado    28
744    atropada    atropada    25
745    atronerar    atronerar    7
746    atronar    atronar    115
747    atronamiento    atronamiento    15
748    atronadura    atronadura    11
749    atronadora    atronadora    58
750    atronador    atronador    98
751    atronado    atronado    9
752    atronadamente    atronadamente    8
753    atrompetado    atrompetado    8
754    atrompetada    atrompetada    5
755    atrojarse    atrojarse    15
756    atrofiar    atrofiar    89
757    atrofia    atrofia    68
758    atrocidad    atrocidad    131
759    atrochar    atrochar    31
760    atrito    atrito    15
761    atrita    atrita    10
762    atrirrostro    atrirrostro    6
763    atrirrostra    atrirrostra    4
764    atripeda    atripeda    4
765    atrio    atrio    212
766    atrincherar    atrincherar    98
767    atrincheramiento    atrincheramiento    21
768    atrincar    atrincar    24
769    atril    atril    229
770    atrición    atricion    44
771    atriceses    atriceses    17
772    atricapilla    atricapilla    12
773    atributo    atributo    137
774    atributivo    atributivo    17
775    atributiva    atributiva    19
776    atributar    atributar    59
777    atribular    atribular    64
778    atribulado    atribulado    119
779    atribulación    atribulacion    19
780    atribuir    atribuir    635
781    atribuible    atribuible    66
782    atribución    atribucion    207
783    atriaquero    atriaquero    20
784    atrezzo    atrezzo    59
785    atrevismo    atrevismo    41
786    atrevimiento    atrevimiento    373
787    atrevido    atrevido    1855
788    atrevidisima    atrevidisima    23
789    atrevidillo    atrevidillo    34
790    atrevidilla    atrevidilla    25
791    atrevidamente    atrevidamente    62
792    atrevida    atrevida    1122
793    atrevidísimo    atrevidisimo    16
794    atreverse    atreverse    3011
795    atresnalar    atresnalar    24
796    atresia    atresia    56
797    atrenzo    atrenzo    44
798    atreguar    atreguar    34
799    atreguado    atreguado    35
800    atreguada    atreguada    27
801    atrecho    atrecho    35
802    atrechar    atrechar    69
803    atrazar    atrazar    233
804    atrayente    atrayente    375
805    atravesar    atravesar    3082
806    atravesador    atravesador    56
807    atravesado    atravesado    314
808    atravesada    atravesada    200
809    atravesaño    atravesano    36
810    atraso    atraso    456
811    atrasar    atrasar    474
812    atrasados    atrasados    146
813    atrasado    atrasado    958
814    atrasada    atrasada    345
815    atrapar    atrapar    2262
816    atrapa-moscas    atrapamoscas    20
817    atranco    atranco    29
818    atrancar    atrancar    165
819    atramuz    atramuz    14
820    atramparse    atramparse    11
821    atramentoso    atramentoso    8
822    atramentosa    atramentosa    7
823    atramento    atramento    8
824    atraimiento    atraimiento    22
825    atraillar    atraillar    34
826    atraidorado    atraidorado    68
827    atraidorada    atraidorada    81
828    atraible    atraible    44
829    atrague    atrague    15
830    atragantarse    atragantarse    325
831    atrafagar    atrafagar    10
832    atrafagado    atrafagado    7
833    atrafagada    atrafagada    7
834    atraer    atraer    2300
835    atractriz    atractriz    12
836    atractivo    atractivo    854
837    atractivamente    atractivamente    9
838    atractiva    atractiva    287
839    atraco    atraco    357
840    atracción    atraccion    510
841    atracar    atracar    480
842    atracador    atracador    170
843    atracado    atracado    119
844    atracadero    atracadero    69
845    atracable    atracable    30
846    atracón    atracon    118
847    atrabilis    atrabilis    25
848    atrabiliario    atrabiliario    55
849    atrabanco    atrabanco    48
850    atrabancar    atrabancar    99
851    atrípedo    atripedo    6
852    atrás    atras    3470
853    atoxicar    atoxicar    6
854    atoxica    atoxica    8
855    atosigar    atosigar    110
856    atosigamiento    atosigamiento    10
857    atosigador    atosigador    18
858    atorunado    atorunado    10
859    atortujar    atortujar    15
860    atortorar    atortorar    7
861    atortolar    atortolar    5
862    atortolado    atortolado    3
863    atorrantear    atorrantear    8
864    atorrante    atorrante    129
865    atorozonarse    atorozonarse    6
866    atorozarse    atorozarse    6
867    atoro    atoro    52
868    atornillar    atornillar    200
869    atormentar    atormentar    320
870    atormentadora    atormentadora    34
871    atormentador    atormentador    13
872    atormentado    atormentado    140
873    atormentadamente    atormentadamente    15
874    atormentada    atormentada    62
875    atorarse    atorarse    126
876    atorar    atorar    370
877    atorafo    atorafo    11
878    atora    atora    65
879    atontolinar    atontolinar    6
880    atontar    atontar    90
881    atontamiento    atontamiento    12
882    atontado    atontado    152
883    atontadamente    atontadamente    6
884    atontada    atontada    69
885    atonita    atonita    275
886    atondar    atondar    15
887    atonal    atonal    31
888    atona    atona    97
889    atomizar    atomizar    45
